country,iso3c,year,gni_per_capita,gni_per_capita_latest_year,gni_per_capita_decile,gni_per_capita_percentile
Afghanistan,AFG,2018,550,2018,1,4.433497536945813
Albania,ALB,2018,4860,2018,5,43.84236453201971
Algeria,DZA,2017,3920,2017,4,37.4384236453202
Angola,AGO,2018,3370,2018,4,32.51231527093596
Antigua and Barbuda,ATG,2018,15890,2018,8,72.41379310344827
Argentina,ARG,2018,12390,2018,7,66.00985221674877
Armenia,ARM,2018,4230,2018,5,40.88669950738916
Aruba,ABW,2017,23630,2017,8,79.80295566502463
Australia,AUS,2018,53230,2018,10,92.61083743842364
Austria,AUT,2018,49310,2018,10,91.13300492610837
Azerbaijan,AZE,2018,4050,2018,4,38.91625615763547
"Bahamas, The",BHS,2018,30520,2018,9,83.2512315270936
Bahrain,BHR,2018,21890,2018,8,78.81773399014779
Bangladesh,BGD,2018,1750,2018,3,21.182266009852217
Barbados,BRB,2018,15410,2018,8,70.44334975369459
Belarus,BLR,2018,5670,2018,5,48.275862068965516
Belgium,BEL,2018,45910,2018,9,89.16256157635468
Belize,BLZ,2018,4470,2018,5,42.857142857142854
Benin,BEN,2018,870,2018,2,11.330049261083744
Bermuda,BMU,2013,106140,2013,10,99.50738916256158
Bhutan,BTN,2018,2970,2018,3,29.55665024630542
Bolivia,BOL,2018,3370,2018,4,32.51231527093596
Bosnia and Herzegovina,BIH,2018,5740,2018,5,49.26108374384236
Botswana,BWA,2018,7750,2018,6,56.65024630541872
Brazil,BRA,2018,9140,2018,6,59.60591133004927
Brunei Darussalam,BRN,2018,29660,2018,9,82.75862068965517
Bulgaria,BGR,2018,8860,2018,6,59.11330049261084
Burkina Faso,BFA,2018,670,2018,1,6.403940886699508
Burundi,BDI,2018,280,2018,1,0.49261083743842365
Cabo Verde,CPV,2018,3420,2018,4,33.99014778325123
Cambodia,KHM,2018,1390,2018,2,15.763546798029557
Cameroon,CMR,2018,1440,2018,2,17.733990147783253
Canada,CAN,2018,44940,2018,9,88.66995073891626
Cayman Islands,CYM,2017,47140,2017,9,90.14778325123153
Central African Republic,CAF,2018,490,2018,1,2.4630541871921183
Chad,TCD,2018,670,2018,1,6.403940886699508
Channel Islands,CHI,2007,66230,2007,10,96.05911330049261
Chile,CHL,2018,14670,2018,7,68.96551724137932
China,CHN,2018,9460,2018,7,61.083743842364534
Colombia,COL,2018,6180,2018,6,51.231527093596064
Comoros,COM,2018,1380,2018,2,15.270935960591133
"Congo, Dem. Rep.",COD,2018,490,2018,1,2.4630541871921183
"Congo, Rep.",COG,2018,1640,2018,3,20.689655172413794
Costa Rica,CRI,2018,11520,2018,7,64.5320197044335
Côte d'Ivoire,CIV,2018,1600,2018,2,19.704433497536947
Croatia,HRV,2018,14000,2018,7,66.99507389162561
Cuba,CUB,2016,7480,2016,6,56.15763546798029
Curaçao,CUW,2017,19070,2017,8,75.86206896551724
Cyprus,CYP,2018,28570,2018,9,81.77339901477832
Czech Republic,CZE,2018,20240,2018,8,76.84729064039408
Denmark,DNK,2018,60140,2018,10,94.08866995073892
Djibouti,DJI,2018,3190,2018,4,32.01970443349754
Dominica,DMA,2018,7090,2018,6,55.172413793103445
Dominican Republic,DOM,2018,7760,2018,6,57.14285714285714
Ecuador,ECU,2018,6110,2018,6,50.73891625615764
"Egypt, Arab Rep.",EGY,2018,2800,2018,3,29.064039408866993
El Salvador,SLV,2018,3820,2018,4,35.960591133004925
Equatorial Guinea,GNQ,2018,6840,2018,6,54.679802955665025
Eritrea,ERI,2011,720,2011,1,7.8817733990147785
Estonia,EST,2018,21140,2018,8,77.83251231527095
Eswatini,SWZ,2018,3930,2018,4,37.93103448275862
Ethiopia,ETH,2018,790,2018,1,9.35960591133005
Fiji,FJI,2018,5860,2018,6,50.24630541871922
Finland,FIN,2018,48280,2018,10,90.64039408866995
France,FRA,2018,41080,2018,9,87.192118226601
French Polynesia,PYF,2000,15760,2000,8,71.92118226600985
Gabon,GAB,2018,6830,2018,6,54.187192118226605
"Gambia, The",GMB,2018,710,2018,1,7.389162561576355
Georgia,GEO,2018,4440,2018,5,42.364532019704434
Germany,DEU,2018,47090,2018,9,89.65517241379311
Ghana,GHA,2018,2130,2018,3,26.108374384236456
Greece,GRC,2018,19770,2018,8,76.35467980295566
Greenland,GRL,2007,34800,2007,9,85.22167487684729
Grenada,GRD,2018,9650,2018,7,62.06896551724138
Guatemala,GTM,2018,4400,2018,5,41.87192118226601
Guinea,GIN,2018,850,2018,2,10.83743842364532
Guinea-Bissau,GNB,2018,750,2018,1,8.374384236453201
Guyana,GUY,2018,4770,2018,5,43.34975369458128
Haiti,HTI,2018,800,2018,1,9.852216748768473
Honduras,HND,2018,2350,2018,3,26.60098522167488
"Hong Kong SAR, China",HKG,2018,50300,2018,10,91.62561576354679
Hungary,HUN,2018,14780,2018,7,69.45812807881774
Iceland,ISL,2018,67960,2018,10,96.55172413793103
India,IND,2018,2020,2018,3,24.137931034482758
Indonesia,IDN,2018,3840,2018,4,36.94581280788177
"Iran, Islamic Rep.",IRN,2017,5470,2017,5,47.783251231527096
Iraq,IRQ,2018,5040,2018,5,45.320197044334975
Ireland,IRL,2018,61390,2018,10,95.07389162561576
Isle of Man,IMN,2017,75340,2017,10,97.53694581280789
Israel,ISR,2018,40920,2018,9,86.69950738916256
Italy,ITA,2018,33730,2018,9,84.23645320197043
Jamaica,JAM,2018,4970,2018,5,44.827586206896555
Japan,JPN,2018,41310,2018,9,87.68472906403942
Jordan,JOR,2018,4200,2018,4,39.90147783251231
Kazakhstan,KAZ,2018,8070,2018,6,58.128078817733986
Kenya,KEN,2018,1620,2018,3,20.19704433497537
Kiribati,KIR,2018,3140,2018,4,31.527093596059114
"Korea, Rep.",KOR,2018,30600,2018,9,83.74384236453201
Kosovo,XKX,2018,4220,2018,5,40.39408866995074
Kuwait,KWT,2018,34290,2018,9,84.72906403940887
Kyrgyz Republic,KGZ,2018,1220,2018,2,14.285714285714285
Lao PDR,LAO,2018,2450,2018,3,27.586206896551722
Latvia,LVA,2018,16510,2018,8,73.39901477832512
Lebanon,LBN,2018,7920,2018,6,57.635467980295566
Lesotho,LSO,2018,1390,2018,2,15.763546798029557
Liberia,LBR,2018,610,2018,1,4.926108374384237
Libya,LBY,2018,6400,2018,6,52.21674876847291
Liechtenstein,LIE,2009,116430,2009,10,100
Lithuania,LTU,2018,17430,2018,8,74.38423645320196
Luxembourg,LUX,2018,70870,2018,10,97.04433497536947
"Macao SAR, China",MAC,2018,79110,2018,10,98.0295566502463
Madagascar,MDG,2018,510,2018,1,3.9408866995073892
Malawi,MWI,2018,360,2018,1,0.9852216748768473
Malaysia,MYS,2018,10590,2018,7,63.54679802955665
Maldives,MDV,2018,9280,2018,7,60.591133004926114
Mali,MLI,2018,840,2018,2,10.344827586206897
Malta,MLT,2018,26480,2018,9,80.78817733990148
Marshall Islands,MHL,2018,4860,2018,5,43.84236453201971
Mauritania,MRT,2018,1160,2018,2,13.793103448275861
Mauritius,MUS,2018,12050,2018,7,65.02463054187191
Mexico,MEX,2018,9180,2018,6,60.09852216748769
"Micronesia, Fed. Sts.",FSM,2018,3400,2018,4,33.497536945812804
Moldova,MDA,2018,2980,2018,3,30.049261083743843
Mongolia,MNG,2018,3660,2018,4,34.97536945812808
Montenegro,MNE,2018,8430,2018,6,58.620689655172406
Morocco,MAR,2018,3090,2018,4,30.541871921182267
Mozambique,MOZ,2018,460,2018,1,1.9704433497536946
Myanmar,MMR,2018,1310,2018,2,14.77832512315271
Namibia,NAM,2018,5220,2018,5,46.30541871921182
Nauru,NRU,2018,12060,2018,7,65.51724137931035
Nepal,NPL,2018,970,2018,2,11.822660098522167
Netherlands,NLD,2018,51260,2018,10,92.11822660098522
New Caledonia,NCL,2000,14020,2000,7,67.48768472906403
New Zealand,NZL,2018,40640,2018,9,85.71428571428571
Nicaragua,NIC,2018,2030,2018,3,25.615763546798032
Niger,NER,2018,390,2018,1,1.477832512315271
Nigeria,NGA,2018,1960,2018,3,23.645320197044335
North Macedonia,MKD,2018,5450,2018,5,47.29064039408867
Norway,NOR,2018,80610,2018,10,98.52216748768473
Oman,OMN,2018,15140,2018,7,69.95073891625616
Pakistan,PAK,2018,1590,2018,2,19.21182266009852
Palau,PLW,2018,17280,2018,8,73.89162561576354
Panama,PAN,2018,14370,2018,7,68.4729064039409
Papua New Guinea,PNG,2018,2570,2018,3,28.078817733990146
Paraguay,PRY,2018,5670,2018,5,48.275862068965516
Peru,PER,2018,6470,2018,6,52.70935960591133
Philippines,PHL,2018,3830,2018,4,36.45320197044335
Poland,POL,2018,14100,2018,7,67.98029556650246
Portugal,PRT,2018,21990,2018,8,79.3103448275862
Puerto Rico,PRI,2018,21100,2018,8,77.33990147783251
Qatar,QAT,2018,61150,2018,10,94.58128078817734
Romania,ROU,2018,11290,2018,7,64.03940886699507
Russian Federation,RUS,2018,10230,2018,7,62.5615763546798
Rwanda,RWA,2018,780,2018,1,8.866995073891626
Samoa,WSM,2018,4020,2018,4,38.42364532019704
São Tomé and Principe,STP,2018,1890,2018,3,23.15270935960591
Saudi Arabia,SAU,2018,21600,2018,8,78.32512315270937
Senegal,SEN,2018,1410,2018,2,16.748768472906402
Serbia,SRB,2018,6390,2018,6,51.724137931034484
Seychelles,SYC,2018,15600,2018,8,70.93596059113301
Sierra Leone,SLE,2018,490,2018,1,2.4630541871921183
Singapore,SGP,2018,58770,2018,10,93.59605911330048
Slovak Republic,SVK,2018,18260,2018,8,74.8768472906404
Slovenia,SVN,2018,24580,2018,8,80.29556650246306
Solomon Islands,SLB,2018,2020,2018,3,24.137931034482758
Somalia,SOM,1990,130,1990,1,0
South Africa,ZAF,2018,5750,2018,5,49.75369458128079
South Sudan,SSD,2015,1130,2015,2,13.30049261083744
Spain,ESP,2018,29340,2018,9,82.26600985221675
Sri Lanka,LKA,2018,4060,2018,4,39.40886699507389
St. Kitts and Nevis,KNA,2018,18340,2018,8,75.36945812807882
St. Lucia,LCA,2018,9560,2018,7,61.57635467980296
St. Vincent and the Grenadines,VCT,2018,7340,2018,6,55.66502463054187
Sudan,SDN,2018,1560,2018,2,18.7192118226601
Suriname,SUR,2018,5210,2018,5,45.812807881773395
Sweden,SWE,2018,55490,2018,10,93.10344827586206
Switzerland,CHE,2018,84410,2018,10,99.01477832512316
Syrian Arab Republic,SYR,2007,1820,2007,3,22.167487684729064
Tajikistan,TJK,2018,1010,2018,2,12.31527093596059
Tanzania,TZA,2018,1020,2018,2,12.807881773399016
Thailand,THA,2018,6610,2018,6,53.20197044334976
Timor-Leste,TLS,2018,1820,2018,3,22.167487684729064
Togo,TGO,2018,660,2018,1,5.911330049261084
Tonga,TON,2018,4300,2018,5,41.37931034482759
Trinidad and Tobago,TTO,2018,15950,2018,8,72.9064039408867
Tunisia,TUN,2018,3500,2018,4,34.48275862068966
Turkey,TUR,2018,10420,2018,7,63.05418719211823
Turkmenistan,TKM,2018,6740,2018,6,53.69458128078818
Turks and Caicos Islands,TCA,2018,26740,2018,9,81.2807881773399
Tuvalu,TUV,2018,5430,2018,5,46.79802955665024
Uganda,UGA,2018,620,2018,1,5.41871921182266
Ukraine,UKR,2018,2660,2018,3,28.57142857142857
United Arab Emirates,ARE,2018,40880,2018,9,86.20689655172413
United Kingdom,GBR,2018,41770,2018,9,88.17733990147784
United States,USA,2018,63080,2018,10,95.56650246305419
Uruguay,URY,2018,15650,2018,8,71.42857142857143
Uzbekistan,UZB,2018,2020,2018,3,24.137931034482758
Vanuatu,VUT,2018,3130,2018,4,31.03448275862069
"Venezuela, RB",VEN,2014,13080,2014,7,66.50246305418719
Vietnam,VNM,2018,2360,2018,3,27.093596059113302
West Bank and Gaza,PSE,2018,3710,2018,4,35.467980295566505
"Yemen, Rep.",YEM,2014,1460,2014,2,18.226600985221676
Zambia,ZMB,2018,1430,2018,2,17.24137931034483
Zimbabwe,ZWE,2018,1790,2018,3,21.67487684729064
